Company,Total_Reviews,Positive_Reviews,Employee_Satisfaction_Score
GAIL,389,335,8.61
ONGC,1323,1071,8.1
HINDUNILVR,133,106,7.97
LICI,791,627,7.93
TITAN,1046,822,7.86
SIEMENS,3607,2825,7.83
ICICIPRULI,4270,3330,7.8
ZYDUSLIFE,912,709,7.77
POWERGRID,416,323,7.76
EICHERMOT,145,112,7.72
NTPC,1065,814,7.64
PIDILITIND,708,537,7.58
IOC,1861,1390,7.47
HEROMOTOCO,1549,1149,7.42
MARICO,607,450,7.41
SRF,342,251,7.34
DRREDDY,1975,1445,7.32
TATAMOTORS,4348,3172,7.3
M&M,651,470,7.22
TATASTEEL,2249,1622,7.21
ULTRACEMCO,934,670,7.17
DABUR,538,384,7.14
ABB,1666,1188,7.13
BHARTIARTL,6262,4353,6.95
NAUKRI,1911,1327,6.94
HAL,948,657,6.93
ITC,3060,2111,6.9
BEL,1429,985,6.89
ASIANPAINT,2003,1376,6.87
SHREECEM,213,146,6.85
HINDALCO,515,352,6.83
MARUTI,2605,1771,6.8
CIPLA,1582,1065,6.73
GRASIM,393,260,6.62
TVSMOTOR,982,649,6.61
BPCL,1251,827,6.61
AMBUJACEM,303,199,6.57
TATACONSUM,320,210,6.56
ZOMATO,3271,2142,6.55
GODREJCP,336,219,6.52
RELIANCE,7082,4604,6.5
ADANIPORTS,196,127,6.48
ADANIPOWER,437,282,6.45
PNB,661,424,6.41
TATAPOWER,728,462,6.35
BAJAJ-AUTO,1205,765,6.35
CHOLAFIN,339,214,6.31
INFY,35631,22399,6.29
DLF,231,144,6.23
JINDALSTEL,667,408,6.12
